                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0634,                  3.681,                 1.9699,                0.76995,                 0.1762,                0.26582,                0.18752,                 1.1458,                 2.8291,                 1.2871,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.6402,                  2.927,                  1.585,                0.89468,                0.89419,                0.95302,                 0.7445,                0.87099,                 1.0808,                 1.0434,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 1.0353,                 1.0826,                 1.2498,                0.99199,                      1,                  0.995,                0.86912,                0.60306,                0.63727,                0.91882,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                0.69602,                 0.7843,                 1.0549,                0.99092,                      1,                  0.995,                0.86941,                0.54773,                0.59951,                0.87939,             0.00011921,             0.00011921,             0.00011921
                      5,                0.67348,                0.55794,                0.97243,                  0.363,                      1,                0.93662,                0.80648,                0.59866,                 1.8102,                0.89757,             0.00014436,             0.00014436,             0.00014436
                      6,                  0.655,                 0.4563,                0.93977,                      1,                0.47368,                0.98625,                0.84605,                0.67587,                 1.9593,                0.95493,             0.00016555,             0.00016555,             0.00016555
                      7,                0.53209,                0.40186,                0.89732,                0.98255,                      1,                  0.995,                0.90182,                0.49079,                0.80878,                0.86916,             0.00018278,             0.00018278,             0.00018278
                      8,                0.57337,                0.43786,                0.90606,                0.98247,                      1,                  0.995,                0.90848,                0.44785,                0.88533,                0.85566,             0.00019605,             0.00019605,             0.00019605
                      9,                 0.4981,                0.38076,                0.89834,                0.98533,                      1,                  0.995,                0.86787,                0.53045,                 1.1012,                0.87172,             0.00020536,             0.00020536,             0.00020536
                     10,                0.49855,                0.34264,                0.88817,                0.97679,                      1,                  0.995,                0.84651,                0.68828,                 1.0199,                0.91854,             0.00021071,             0.00021071,             0.00021071
                     11,                0.36918,                0.28542,                0.83104,                0.97509,                      1,                  0.995,                0.85827,                0.62765,                0.79761,                0.90401,              0.0002121,              0.0002121,              0.0002121
                     12,                0.40013,                0.35401,                 0.8526,                0.97904,                      1,                  0.995,                0.90108,                0.49804,                0.50952,                0.86479,             0.00020953,             0.00020953,             0.00020953
                     13,                0.42591,                0.36646,                0.85565,                0.96597,                      1,                  0.995,                0.89713,                0.49215,                0.49383,                0.86263,               0.000203,               0.000203,               0.000203
                     14,                0.37428,                0.31524,                0.85472,                0.95578,                      1,                  0.995,                0.88081,                0.54272,                0.68659,                0.88169,             0.00019251,             0.00019251,             0.00019251
                     15,                0.35489,                0.25465,                0.83785,                 0.9361,                      1,                  0.995,                 0.8593,                0.57283,                0.80397,                0.88537,             0.00017806,             0.00017806,             0.00017806
                     16,                0.33975,                0.26013,                0.83288,                  0.941,                      1,                  0.995,                0.86926,                0.54552,                0.71178,                 0.8725,             0.00015965,             0.00015965,             0.00015965
                     17,                0.34549,                0.24297,                0.83179,                0.95741,                      1,                  0.995,                0.89358,                0.47921,                0.56949,                0.85212,             0.00013728,             0.00013728,             0.00013728
                     18,                0.32012,                0.24598,                 0.8259,                0.97436,                      1,                  0.995,                0.90621,                0.43763,                0.45868,                 0.8428,             0.00011095,             0.00011095,             0.00011095
                     19,                0.30715,                0.24659,                0.81554,                0.98655,                      1,                  0.995,                 0.9185,                0.43075,                0.39681,                0.84245,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                0.27862,                0.21772,                0.79956,                0.98864,                      1,                  0.995,                 0.9177,                0.42949,                0.36363,                0.84192,              4.641e-05,              4.641e-05,              4.641e-05
